,Club,Position,Player_Name,DOB,Nation,Contract_Expiry,Value,League
443,SCO Angers,Forward,Rachid Alioui,"Jun 18, 1992 (27)",Morocco,30.06.2022,£3.60m,Ligue 1
444,SCO Angers,Forward,Wilfried Kanga,"Feb 21, 1998 (21)",France,30.06.2020,£1.35m,Ligue 1
445,Nîmes Olympique,Goalkeeper,Paul Bernardoni,"Apr 18, 1997 (22)",France,30.06.2020,£8.10m,Ligue 1
446,Nîmes Olympique,Goalkeeper,Lucas Dias,"May 22, 1999 (20)",France,30.06.2022,£135k,Ligue 1
447,Nîmes Olympique,Defender,Anthony Briancon,"Nov 28, 1994 (24)",France,30.06.2022,£4.50m,Ligue 1
448,Nîmes Olympique,Defender,Pablo Martinez,"Feb 21, 1989 (30)",France,30.06.2022,£3.15m,Ligue 1
449,Nîmes Olympique,Defender,Loïck Landre,"May 5, 1992 (27)",France,30.06.2021,£3.15m,Ligue 1
450,Nîmes Olympique,Defender,Kelyan Guessoum,"Feb 5, 1999 (20)",France,30.06.2022,£135k,Ligue 1
451,Nîmes Olympique,Defender,Florian Miguel,"Sep 1, 1996 (23)",France,30.06.2021,£1.35m,Ligue 1
452,Nîmes Olympique,Defender,Théo Sainte-Luce,"Oct 20, 1998 (20)",France,30.06.2022,£135k,Ligue 1
453,Nîmes Olympique,Defender,Sofiane Alakouch,"Jul 29, 1998 (21)",France,30.06.2021,£4.50m,Ligue 1
454,Nîmes Olympique,Defender,Gaëtan Paquiez,"Feb 15, 1994 (25)",France,30.06.2022,£900k,Ligue 1
455,Nîmes Olympique,Defender,Lucas Buades,"Dec 28, 1997 (21)",France,-,£135k,Ligue 1
456,Nîmes Olympique,Midfielder,Lucas Deaux,"Dec 26, 1988 (30)",France,30.06.2021,£2.25m,Ligue 1
457,Nîmes Olympique,Midfielder,Lamine Fomba,"Jan 26, 1998 (21)",France,30.06.2023,£2.25m,Ligue 1
458,Nîmes Olympique,Midfielder,Sidy Sarr,"Jun 5, 1996 (23)",Senegal,30.06.2023,£540k,Ligue 1
459,Nîmes Olympique,Midfielder,Theo Valls,"Dec 18, 1995 (23)",France,30.06.2020,£2.25m,Ligue 1
460,Nîmes Olympique,Midfielder,Zinedine Ferhat,"Mar 1, 1993 (26)",Algeria,30.06.2022,£1.80m,Ligue 1
461,Nîmes Olympique,Midfielder,Romain Philippoteaux,"Mar 2, 1988 (31)",France,30.06.2022,£900k,Ligue 1
462,Nîmes Olympique,Midfielder,Haris Duljevic,"Nov 16, 1993 (25)",Bosnia-Herzegovina,30.06.2022,£720k,Ligue 1
463,Nîmes Olympique,Forward,Renaud Ripart,"Mar 14, 1993 (26)",France,30.06.2023,£3.60m,Ligue 1
464,Nîmes Olympique,Forward,Clément Depres,"Nov 25, 1994 (24)",France,30.06.2022,£1.35m,Ligue 1
465,Nîmes Olympique,Forward,Vlatko Stojanovski,"Apr 23, 1997 (22)",North Macedonia,30.06.2022,£450k,Ligue 1
466,Nîmes Olympique,Forward,Kévin Denkey,"Nov 30, 2000 (18)",Togo,30.06.2021,£270k,Ligue 1
467,Nîmes Olympique,Forward,Sami Ben Amar,"Mar 2, 1998 (21)",Morocco,30.06.2021,£135k,Ligue 1
468,FCO Dijon,Goalkeeper,Rúnar Alex Rúnarsson,"Feb 18, 1995 (24)",Iceland,30.06.2022,£2.70m,Ligue 1
469,FCO Dijon,Goalkeeper,Alfred Gomis,"Sep 5, 1993 (26)",Senegal,30.06.2023,£1.80m,Ligue 1
470,FCO Dijon,Goalkeeper,Lévi Ntumba,"Jan 12, 2001 (18)",France,30.06.2021,£270k,Ligue 1
471,FCO Dijon,Defender,Bruno Ecuele Manga,"Jul 16, 1988 (31)",Gabon,30.06.2022,£2.70m,Ligue 1
472,FCO Dijon,Defender,Wesley Lautoa,"Aug 25, 1987 (32)",France,30.06.2020,£1.80m,Ligue 1
473,FCO Dijon,Defender,Nayef Aguerd,"Mar 30, 1996 (23)",Morocco,30.06.2021,£1.35m,Ligue 1
474,FCO Dijon,Defender,Senou Coulibaly,"Sep 4, 1994 (25)",France,30.06.2020,£900k,Ligue 1
475,FCO Dijon,Defender,Théo Barbet,"Mar 6, 2001 (18)",France,30.06.2022,£135k,Ligue 1
476,FCO Dijon,Defender,Hamza Mendyl,"Oct 21, 1997 (21)",Morocco,30.06.2020,£3.60m,Ligue 1
477,FCO Dijon,Defender,Ngonda Muzinga,"Dec 31, 1994 (24)",DR Congo,30.06.2021,£270k,Ligue 1
478,FCO Dijon,Defender,Mickaël Alphonse,"Jul 12, 1989 (30)",Guadeloupe,30.06.2021,£810k,Ligue 1
479,FCO Dijon,Defender,Fouad Chafik,"Oct 16, 1986 (32)",Morocco,30.06.2020,£720k,Ligue 1
480,FCO Dijon,Midfielder,Enzo Loiodice,"Nov 27, 2000 (18)",France,30.06.2021,£4.95m,Ligue 1
481,FCO Dijon,Midfielder,Didier Ndong,"Jun 17, 1994 (25)",Gabon,30.06.2023,£3.60m,Ligue 1
482,FCO Dijon,Midfielder,Romain Amalfitano,"Aug 27, 1989 (30)",France,30.06.2021,£1.80m,Ligue 1
483,FCO Dijon,Midfielder,Jordan Marié,"Sep 29, 1991 (27)",France,30.06.2020,£1.35m,Ligue 1
484,FCO Dijon,Midfielder,Florent Balmont,"Feb 2, 1980 (39)",France,30.06.2020,£225k,Ligue 1
485,FCO Dijon,Midfielder,Frédéric Sammaritano,"Mar 23, 1986 (33)",France,30.06.2020,£450k,Ligue 1
486,FCO Dijon,Midfielder,Matheus Pereira,"Feb 25, 1998 (21)",Brazil,30.06.2020,£405k,Ligue 1
487,FCO Dijon,Midfielder,Bryan Soumaré,"Feb 11, 1999 (20)",France,30.06.2022,£135k,Ligue 1
488,FCO Dijon,Forward,Mounir Chouiar,"Jan 23, 1999 (20)",France,30.06.2022,£900k,Ligue 1
489,FCO Dijon,Forward,Mama Baldé,"Nov 6, 1995 (23)",Guinea-Bissau,30.06.2022,£2.25m,Ligue 1
490,FCO Dijon,Forward,Julio Tavarès,"Nov 19, 1988 (30)",Cape Verde,30.06.2021,£2.70m,Ligue 1
491,FCO Dijon,Forward,Jhonder Cádiz,"Jul 29, 1995 (24)",Venezuela,30.06.2020,£1.80m,Ligue 1
492,FCO Dijon,Forward,Stephy Mavididi,"May 31, 1998 (21)",England,30.06.2020,£495k,Ligue 1
493,FC Metz,Goalkeeper,Alexandre Oukidja,"Jul 19, 1988 (31)",Algeria,30.06.2020,£1.80m,Ligue 1
494,FC Metz,Goalkeeper,Paul Delecroix,"Oct 14, 1988 (30)",France,30.06.2020,£540k,Ligue 1
495,FC Metz,Goalkeeper,Guillaume Dietsch,"Apr 17, 2001 (18)",France,30.06.2021,£135k,Ligue 1
496,FC Metz,Defender,Mamadou Fofana,"Jan 21, 1998 (21)",Mali,30.06.2022,£1.80m,Ligue 1
497,FC Metz,Defender,Stoppila Sunzu,"Jun 22, 1989 (30)",Zambia,30.06.2020,£1.80m,Ligue 1
498,FC Metz,Defender,John Boye,"Apr 23, 1987 (32)",Ghana,30.06.2020,£900k,Ligue 1
499,FC Metz,Defender,Thomas Delaine,"Mar 24, 1992 (27)",France,30.06.2022,£1.35m,Ligue 1
500,FC Metz,Defender,Manuel Cabit,"Jun 3, 1993 (26)",Martinique,30.06.2022,£720k,Ligue 1
501,FC Metz,Defender,Matthieu Udol,"Mar 20, 1996 (23)",France,30.06.2020,£360k,Ligue 1
502,FC Metz,Defender,Fabien Centonze,"Jan 16, 1996 (23)",France,30.06.2024,£1.35m,Ligue 1
503,FC Metz,Midfielder,Kévin N'Doram,"Jan 22, 1996 (23)",France,30.06.2020,£3.60m,Ligue 1
504,FC Metz,Midfielder,Habib Maïga,"Jan 1, 1996 (23)",Cote d'Ivoire,30.06.2023,£900k,Ligue 1
505,FC Metz,Midfielder,Sami Lahssaini,"Sep 18, 1998 (20)",Belgium,30.06.2022,£135k,Ligue 1
506,FC Metz,Midfielder,Adama Traoré,"Jun 28, 1995 (24)",Mali,30.06.2020,£1.98m,Ligue 1
507,FC Metz,Midfielder,Victorien Angban,"Sep 29, 1996 (22)",Cote d'Ivoire,-,£1.13m,Ligue 1
508,FC Metz,Midfielder,Marvin Gakpa,"Nov 1, 1993 (25)",France,30.06.2021,£900k,Ligue 1
509,FC Metz,Midfielder,Renaud Cohade,"Sep 29, 1984 (34)",France,30.06.2020,£900k,Ligue 1
510,FC Metz,Midfielder,Papa Ndiaga Yade,"Jan 5, 2000 (19)",Senegal,30.06.2024,-,Ligue 1
511,FC Metz,Forward,Opa Nguette,"Jul 8, 1994 (25)",Senegal,30.06.2022,£1.80m,Ligue 1
512,FC Metz,Forward,Adama Traore,"Jun 5, 1995 (24)",Mali,30.06.2022,£270k,Ligue 1
513,FC Metz,Forward,Farid Boulaya,"Feb 25, 1993 (26)",Algeria,30.06.2022,£1.80m,Ligue 1
514,FC Metz,Forward,Habib Diallo,"Jun 15, 1995 (24)",Senegal,30.06.2022,£5.40m,Ligue 1
515,FC Metz,Forward,Ibrahima Niane,"Mar 11, 1999 (20)",Senegal,30.06.2022,£3.15m,Ligue 1
516,FC Metz,Forward,Thierry Ambrose,"Mar 28, 1997 (22)",France,30.06.2020,£1.80m,Ligue 1
517,FC Metz,Forward,Amadou Ndiaye,"Jan 2, 2000 (19)",Senegal,30.06.2022,£135k,Ligue 1
518,Stade Brest 29,Goalkeeper,Gautier Larsonneur,"Feb 23, 1997 (22)",France,30.06.2021,£3.60m,Ligue 1
519,Stade Brest 29,Goalkeeper,Julien Fabri,"Feb 5, 1994 (25)",France,30.06.2020,£450k,Ligue 1
520,Stade Brest 29,Goalkeeper,Donovan Léon,"Nov 3, 1992 (26)",French Guiana,30.06.2020,£225k,Ligue 1
521,Stade Brest 29,Defender,Jean-Kevin Duverne,"Jul 12, 1997 (22)",France,30.06.2023,£1.80m,Ligue 1
522,Stade Brest 29,Defender,Denys Bain,"Jul 2, 1993 (26)",France,30.06.2022,£1.35m,Ligue 1
523,Stade Brest 29,Defender,Jean-Charles Castelletto,"Jan 26, 1995 (24)",Cameroon,30.06.2020,£1.35m,Ligue 1
524,Stade Brest 29,Defender,Brendan Chardonnet,"Dec 22, 1994 (24)",France,30.06.2021,£720k,Ligue 1
525,Stade Brest 29,Defender,Romain Perraud,"Sep 22, 1997 (21)",France,30.06.2023,£1.35m,Ligue 1
526,Stade Brest 29,Defender,David Kiki,"Nov 25, 1993 (25)",Benin,30.06.2021,£540k,Ligue 1
527,Stade Brest 29,Defender,Ludovic Baal,"May 24, 1986 (33)",French Guiana,30.06.2020,£450k,Ligue 1
528,Stade Brest 29,Defender,Gaëtan Belaud,"Sep 16, 1986 (32)",France,30.06.2020,£810k,Ligue 1
529,Stade Brest 29,Midfielder,Paul Lasne,"Jan 16, 1989 (30)",France,30.06.2020,£2.25m,Ligue 1
530,Stade Brest 29,Midfielder,Ibrahima Diallo,"Mar 8, 1999 (20)",France,30.06.2023,£2.25m,Ligue 1
531,Stade Brest 29,Midfielder,Cristian Battocchio,"Feb 10, 1992 (27)",Italy,30.06.2021,£1.35m,Ligue 1
532,Stade Brest 29,Midfielder,Haris Belkebla,"Jan 28, 1994 (25)",Algeria,30.06.2022,£900k,Ligue 1
533,Stade Brest 29,Midfielder,Ferris N'Goma,"Jun 15, 1993 (26)",France,30.06.2021,£630k,Ligue 1
534,Stade Brest 29,Midfielder,Hugo Magnetti,"May 30, 1998 (21)",France,30.06.2021,£135k,Ligue 1
535,Stade Brest 29,Midfielder,Hiang'a Mbock,"Dec 28, 1999 (19)",France,30.06.2022,-,Ligue 1
536,Stade Brest 29,Midfielder,Samuel Grandsir,"Aug 14, 1996 (23)",France,30.06.2020,£2.70m,Ligue 1
537,Stade Brest 29,Midfielder,Julien Faussurier,"Jan 14, 1987 (32)",France,30.06.2021,£900k,Ligue 1
538,Stade Brest 29,Midfielder,Yoann Court,"Jan 14, 1990 (29)",France,30.06.2020,£900k,Ligue 1
539,Stade Brest 29,Midfielder,Mathias Autret,"Mar 1, 1991 (28)",France,30.06.2020,£1.80m,Ligue 1
540,Stade Brest 29,Forward,Gaëtan Charbonnier,"Dec 27, 1988 (30)",France,30.06.2021,£2.25m,Ligue 1
541,Stade Brest 29,Forward,Alexandre Mendy,"Mar 20, 1994 (25)",France,30.06.2020,£2.03m,Ligue 1
542,Stade Brest 29,Forward,Irvin Cardona,"Aug 8, 1997 (22)",France,30.06.2023,£1.35m,Ligue 1
543,Stade Brest 29,Forward,Kévin Mayi,"Jan 14, 1993 (26)",France,30.06.2020,£630k,Ligue 1
544,Stade Brest 29,Forward,Derick Osei Yaw,"Sep 10, 1998 (21)",France,30.06.2021,£135k,Ligue 1
